#;Player;Score;Kills;Death;Damage;Map Count;Teams;Maps;Rounds;K-D Diff;K/D;Rating1.0;First Place;Second Place;Third Place;Earnings
;Ace;;;;;;['rise-nation', 'eunited'];456.0;11866.0;570.0;1.08;1.02;;;;
676.0;AcilioN;5.9;0.62;0.7;72.25;102.0;['copenhagen-flames', 'sk', 'apeks'];1870.0;49297.0;-1652.0;0.95;0.95;25.0;16.0;13.0;$216,165
920.0;Adam9130;5.7;0.59;0.72;70.91;79.0;['into-the-breach', 'gamerlegion'];692.0;18654.0;-1742.0;0.87;0.89;;;;
301.0;Adamb;6.1;0.68;0.68;75.96;264.0;;;;;;;;;;
903.0;AdreN;5.7;0.59;0.7;70.49;63.0;['gambit', 'hellraisers', 'k23'];1770.0;46542.0;-254.0;0.99;0.98;32.0;17.0;34.0;$443,878
547.0;Aerial;5.9;0.66;0.69;73.66;155.0;['ence', 'havu'];1139.0;30459.0;1269.0;1.06;1.04;23.0;17.0;10.0;$243,120
822.0;Ag1L;5.8;0.62;0.68;68.1;97.0;;;;;;;;;;
;Ag1l;;;;;;['ftw'];354.0;9112.0;-165.0;0.97;0.96;;;;
118.0;AhaNg;6.3;0.7;0.7;83.22;46.0;;;;;;;;;;
994.0;Airax;5.5;0.59;0.75;69.61;211.0;['havu', 'kova'];447.0;11727.0;-1590.0;0.82;0.85;;;;
;AiyvaN;;;;;;['pro100', 'spraynpray'];701.0;18214.0;578.0;1.05;1.03;;;;
1034.0;AlekS;5.4;0.53;0.63;62.19;33.0;['prospects', 'fnatic-academy', 'kappa-bar'];338.0;9024.0;-374.0;0.94;0.95;;;;
863.0;Aleksib;5.7;0.57;0.65;68.85;525.0;['og', 'ence', 'havu'];1266.0;33319.0;-881.0;0.96;0.94;29.0;13.0;16.0;$569,773
745.0;Alisson;5.8;0.63;0.67;70.54;95.0;['meta'];382.0;9973.0;-446.0;0.93;0.93;;;;
337.0;Altekz;6.1;0.67;0.65;75.91;276.0;['astralis-talent', 'preasy'];665.0;17015.0;334.0;1.03;1.0;13.0;4.0;8.0;$83,879
;AnJ;;;;;;['nrg', 'singularity', 'tricked'];403.0;10503.0;763.0;1.11;1.06;;;;
757.0;Andrew;5.8;0.63;0.67;63.54;38.0;['furious', 'coscu-army', 'stone'];335.0;8794.0;-541.0;0.91;0.93;;;;
;Andyy;;;;;;['expert', 'unicorns-of-love', 'panthers'];256.0;6715.0;331.0;1.08;1.03;;;;
329.0;Anlelele;6.1;0.67;0.66;75.08;171.0;['masonic', 'espionage', 'sprout'];461.0;11841.0;207.0;1.03;1.0;;;;
586.0;Annihilation;5.9;0.62;0.6;66.21;86.0;['d13', 'ihc'];434.0;11587.0;1026.0;1.14;1.07;;;;
981.0;Aqua;5.6;0.57;0.65;62.84;49.0;['big-academy'];210.0;5545.0;-302.0;0.92;0.92;;;;
;Archi;;;;;;;;;;;;14.0;10.0;5.0;$84,221
875.0;ArroW;5.7;0.59;0.67;66.64;174.0;['alternate-attax', 'big-academy'];275.0;6828.0;-468.0;0.9;0.9;;;;
54.0;ArtFr0st;6.4;0.71;0.54;70.88;275.0;['spirit-academy', 'spirit'];396.0;10096.0;1804.0;1.33;1.14;9.0;7.0;2.0;$88,257
;Artill;;;;;;['born-of-fire', 'eclipseo'];260.0;6573.0;-269.0;0.95;0.98;;;;
488.0;AttackeR;6.0;0.66;0.68;72.44;63.0;;;;;;;;;;
;Attacker;;;;;;['tyloo', 'flash'];1323.0;34058.0;2719.0;1.12;1.08;37.0;18.0;21.0;$203,134
;Aunkere;;;;;;['navi-junior'];371.0;9694.0;431.0;1.07;1.05;;;;
459.0;Austin;6.0;0.66;0.73;77.43;35.0;;;;;;;;;;
261.0;AwaykeN;6.1;0.67;0.6;68.66;30.0;;;;;;;;;;
31.0;Ax1Le;6.4;0.73;0.63;81.31;582.0;['cloud9', 'gambit-youngsters', 'gambit'];1220.0;32044.0;3020.0;1.15;1.09;29.0;8.0;15.0;$669,184
814.0;AxEcHo;5.8;0.61;0.62;67.54;34.0;;;;;;;;;;
;B1NGO;;;;;;['ehome', 'lynn-vision', 'wings-up'];372.0;9850.0;-570.0;0.92;0.91;;;;
;B1ad3;;;;;;['flipsid3'];906.0;23376.0;-3476.0;0.8;0.82;16.0;17.0;22.0;$88,750
;BARBARR;;;;;;['epsilon', 'x6tence-galaxy', 'singularity'];876.0;23180.0;-20.0;1.0;0.99;11.0;16.0;16.0;$68,162
;BAS;;;;;;['spirit-academy', '1337'];265.0;6922.0;-213.0;0.96;0.96;;;;
273.0;BELCHONOKK;6.1;0.69;0.69;77.53;131.0;['nemiga', 'aurora', 'parivision', 'ethereal'];287.0;7211.0;-168.0;0.97;0.97;;;;
;BENDJI;;;;;;['singularity', 'dendd'];878.0;23318.0;137.0;1.01;0.99;;;;
;BERRY;;;;;;['ambush', 'opaa'];826.0;21660.0;-2564.0;0.84;0.87;;;;
;BIT;;;;;;['teamone', '9z'];737.0;19057.0;50.0;1.0;0.98;62.0;20.0;15.0;$80,548
699.0;BK1;5.8;0.62;0.71;71.73;117.0;['boca-juniors', 'isurus', 'durany'];250.0;6399.0;-162.0;0.96;0.96;;;;
;BL1TZ;;;;;;['chiefs', 'legacy', 'avant', 'funky-monkeys'];740.0;19035.0;1601.0;1.13;1.09;;;;
;BLOODZ;;;;;;['exploit', 'alientech'];315.0;8283.0;-849.0;0.85;0.85;;;;
;BLUEE;;;;;;['esuba'];205.0;5374.0;-85.0;0.98;0.96;;;;
;BONA;;;;;;['sj', 'vitalis', 'hreds'];476.0;12674.0;-943.0;0.89;0.91;;;;
;BORKUM;;;;;;['tnc', 'bren'];232.0;5904.0;163.0;1.04;1.03;;;;
102.0;BOROS;6.3;0.76;0.73;81.61;263.0;['monte', 'endpoint', 'falcons'];628.0;16743.0;853.0;1.07;1.09;12.0;7.0;6.0;$84,398
1049.0;BRACE;5.3;0.54;0.7;61.85;92.0;['vertex'];642.0;16080.0;-745.0;0.93;0.93;;;;
;BRNZ1K;;;;;;['redragon', 'idm', 'en9my'];238.0;6363.0;-196.0;0.95;0.95;;;;
1029.0;BTN;5.5;0.56;0.72;65.44;299.0;['nexus'];1534.0;40293.0;-3757.0;0.87;0.89;;;;
